 (4.961154856599999903e+02+0.000000000000000000e+00j), (-4.961723410600000079e+02+1.248456022000000054e+01j), (4.947164284599999746e+02-2.498230051000000174e+01j), (-4.948864938500000221e+02+3.839087663000000106e+01j), (4.933218132399999831e+02-5.018242732000000217e+01j), (-4.914352299600000151e+02+6.252457720999999680e+01j), (4.900583475799999746e+02-7.499523195000000442e+01j), (-4.876760712799999737e+02+8.830591522000000282e+01j), (4.860634139599999912e+02-9.918249591999999382e+01j), (-4.824937917799999809e+02+1.121039843899999937e+02j), (4.798462165500000083e+02-1.246076814799999966e+02j), (-4.762773991700000238e+02+1.363475908599999968e+02j)
 (-4.961723410600000079e+02-1.248456022000000054e+01j), (4.975670407999999725e+02+0.000000000000000000e+00j), (-4.959170997400000260e+02+1.252757908000000064e+01j), (4.964201537299999814e+02-2.597878631000000027e+01j), (-4.951367555200000083e+02+3.786165148999999985e+01j), (4.935893785299999763e+02-5.025565083000000044e+01j), (-4.925704440700000077e+02+6.276879258999999678e+01j), (4.904619822199999817e+02-7.614804786000000547e+01j), (-4.891424653700000249e+02+8.709496898999999814e+01j), (4.858818469600000185e+02-1.000698037899999946e+02j), (-4.835597636400000283e+02+1.126924196500000050e+02j), (4.802676559600000132e+02-1.245605119500000058e+02j)
 (4.947164284599999746e+02+2.498230051000000174e+01j), (-4.959170997400000260e+02-1.252757908000000064e+01j), (4.956350431700000172e+02+0.000000000000000000e+00j), (-4.959503039400000262e+02+1.335339817000000018e+01j), (4.950046424199999819e+02-2.525348512000000056e+01j), (-4.937464146699999787e+02+3.767690498999999704e+01j), (4.930559227200000123e+02-5.020195591000000235e+01j), (-4.912933988500000169e+02+6.359838408000000243e+01j), (4.902318748100000221e+02-7.455522716999999489e+01j), (-4.873269977300000164e+02+8.758829566000000000e+01j), (4.852929705000000240e+02-1.002160247199999930e+02j), (-4.823647403599999848e+02+1.121407665600000030e+02j)
 (-4.948864938500000221e+02-3.839087663000000106e+01j), (4.964201537299999814e+02+2.597878631000000027e+01j), (-4.959503039400000262e+02-1.335339817000000018e+01j), (4.976076284900000246e+02+0.000000000000000000e+00j), (-4.964937467600000218e+02+1.194103295999999936e+01j), (4.955718391600000245e+02-2.442287260000000160e+01j), (-4.952109378399999855e+02+3.696930694999999645e+01j), (4.938006014200000209e+02-5.045400554999999798e+01j), (-4.930527189599999929e+02+6.143416519000000164e+01j), (4.904918656599999736e+02-7.461782888000000469e+01j), (-4.887703240899999741e+02+8.728968168999999477e+01j), (4.861604800499999897e+02-9.930164745999999809e+01j)
 (4.933218132399999831e+02+5.018242732000000217e+01j), (-4.951367555200000083e+02-3.786165148999999985e+01j), (4.950046424199999819e+02+2.525348512000000056e+01j), (-4.964937467600000218e+02-1.194103295999999936e+01j), (4.966647941200000105e+02+0.000000000000000000e+00j), (-4.955640483799999743e+02+1.251184510999999944e+01j), (4.954473974100000078e+02-2.501019554000000156e+01j), (-4.944132379800000194e+02+3.853445535000000177e+01j), (4.939032949200000076e+02-4.950342020000000076e+01j), (-4.916348980800000277e+02+6.272980557000000346e+01j), (4.902660493899999778e+02-7.544561735000000624e+01j), (-4.879070411299999819e+02+8.750743739000000687e+01j)
 (-4.914352299600000151e+02-6.252457720999999680e+01j), (4.935893785299999763e+02+5.025565083000000044e+01j), (-4.937464146699999787e+02-3.767690498999999704e+01j), (4.955718391600000245e+02+2.442287260000000160e+01j), (-4.955640483799999743e+02-1.251184510999999944e+01j), (4.957782507399999758e+02+0.000000000000000000e+00j), (-4.954732217700000092e+02+1.251289363999999971e+01j), (4.947864163599999756e+02-2.600011840000000163e+01j), (-4.945654552999999964e+02+3.700901621999999946e+01j), (4.926089165899999784e+02-5.029290483999999850e+01j), (-4.915721310299999800e+02+6.300889566000000030e+01j), (4.895257725399999913e+02-7.511214567999999758e+01j)
 (4.900583475799999746e+02+7.499523195000000442e+01j), (-4.925704440700000077e+02-6.276879258999999678e+01j), (4.930559227200000123e+02+5.020195591000000235e+01j), (-4.952109378399999855e+02-3.696930694999999645e+01j), (4.954473974100000078e+02+2.501019554000000156e+01j), (-4.954732217700000092e+02-1.251289363999999971e+01j), (4.965326592100000198e+02+0.000000000000000000e+00j), (-4.956349114999999870e+02+1.356211672000000057e+01j), (4.957253685200000177e+02-2.453298519999999883e+01j), (-4.941528121399999804e+02+3.785492410999999890e+01j), (4.934347692499999880e+02-5.059470222000000206e+01j), (-4.916649849099999869e+02+6.278611899999999935e+01j)
 (-4.876760712799999737e+02-8.830591522000000282e+01j), (4.904619822199999817e+02+7.614804786000000547e+01j), (-4.912933988500000169e+02-6.359838408000000243e+01j), (4.938006014200000209e+02+5.045400554999999798e+01j), (-4.944132379800000194e+02-3.853445535000000177e+01j), (4.947864163599999756e+02+2.600011840000000163e+01j), (-4.956349114999999870e+02-1.356211672000000057e+01j), (4.961572788199999877e+02+0.000000000000000000e+00j), (-4.959832688600000097e+02+1.103444359000000041e+01j), (4.947893928500000129e+02-2.434165614999999860e+01j), (-4.944432570899999746e+02+3.712372429999999923e+01j), (4.929965407600000162e+02-4.930990485000000234e+01j)
 (4.860634139599999912e+02+9.918249591999999382e+01j), (-4.891424653700000249e+02-8.709496898999999814e+01j), (4.902318748100000221e+02+7.455522716999999489e+01j), (-4.930527189599999929e+02-6.143416519000000164e+01j), (4.939032949200000076e+02+4.950342020000000076e+01j), (-4.945654552999999964e+02-3.700901621999999946e+01j), (4.957253685200000177e+02+2.453298519999999883e+01j), (-4.959832688600000097e+02-1.103444359000000041e+01j), (4.971584377500000187e+02+0.000000000000000000e+00j), (-4.957054355600000122e+02+1.336214745000000015e+01j), (4.955736809100000073e+02-2.615890476999999947e+01j), (-4.944389038200000073e+02+3.839563047000000040e+01j)
 (-4.824937917799999809e+02-1.121039843899999937e+02j), (4.858818469600000185e+02+1.000698037899999946e+02j), (-4.873269977300000164e+02-8.758829566000000000e+01j), (4.904918656599999736e+02+7.461782888000000469e+01j), (-4.916348980800000277e+02-6.272980557000000346e+01j), (4.926089165899999784e+02+5.029290483999999850e+01j), (-4.941528121399999804e+02-3.785492410999999890e+01j), (4.947893928500000129e+02+2.434165614999999860e+01j), (-4.957054355600000122e+02-1.336214745000000015e+01j), (4.956140402099999847e+02+0.000000000000000000e+00j), (-4.953770347700000229e+02+1.279279947999999933e+01j), (4.945743050400000129e+02-2.506145062999999951e+01j)
 (4.798462165500000083e+02+1.246076814799999966e+02j), (-4.835597636400000283e+02-1.126924196500000050e+02j), (4.852929705000000240e+02+1.002160247199999930e+02j), (-4.887703240899999741e+02-8.728968168999999477e+01j), (4.902660493899999778e+02+7.544561735000000624e+01j), (-4.915721310299999800e+02-6.300889566000000030e+01j), (4.934347692499999880e+02+5.059470222000000206e+01j), (-4.944432570899999746e+02-3.712372429999999923e+01j), (4.955736809100000073e+02+2.615890476999999947e+01j), (-4.953770347700000229e+02-1.279279947999999933e+01j), (4.964629888499999879e+02+0.000000000000000000e+00j), (-4.954539105999999720e+02+1.230295014999999914e+01j)
 (-4.762773991700000238e+02-1.363475908599999968e+02j), (4.802676559600000132e+02+1.245605119500000058e+02j), (-4.823647403599999848e+02-1.121407665600000030e+02j), (4.861604800499999897e+02+9.930164745999999809e+01j), (-4.879070411299999819e+02-8.750743739000000687e+01j), (4.895257725399999913e+02+7.511214567999999758e+01j), (-4.916649849099999869e+02-6.278611899999999935e+01j), (4.929965407600000162e+02+4.930990485000000234e+01j), (-4.944389038200000073e+02-3.839563047000000040e+01j), (4.945743050400000129e+02+2.506145062999999951e+01j), (-4.954539105999999720e+02-1.230295014999999914e+01j), (4.957595455599999923e+02+0.000000000000000000e+00j)
